Conundrums,Solutions,Difficulty
ABCDGINTU,ABDUCTING,1
ABGILNOSV,ABSOLVING,1
ACEGHIINV,ACHIEVING,1
ACDEIQTTU,ACQUITTED,1
AAADLMNTY,ADAMANTLY,1
ADGIJNSTU,ADJUSTING,1
ADFFGINOR,AFFORDING,1
AAGILMNYZ,AMAZINGLY,1
AAIIMNNOT,ANIMATION,1
AGINOPPRV,APPROVING,1
AABIRRRTY,ARBITRARY,1
AAGGINNRR,ARRANGING,1
AACGHINTT,ATTACHING,1
AACGIKNTT,ATTACKING,1
ADEEMPTTT,ATTEMPTED,1
AAABEILLV,AVAILABLE,1
AAACEHLNV,AVALANCHE,1
AADKLRWWY,AWKWARDLY,1
AABBCDKOR,BACKBOARD,1
AABDGGINN,BANDAGING,1
AABDDNNST,BANDSTAND,1
ABFHLLSUY,BASHFULLY,1
ABEGINRTT,BATTERING,1
BCEGIKNNO,BECKONING,1
ABDDEELZZ,BEDAZZLED,1
BEEEFINSS,BEEFINESS,1
BDDDEEFLU,BEFUDDLED,1
BEEGGINTT,BEGETTING,1
ABDEEGHIN,BEHEADING,1
BEEGIILNV,BELIEVING,1
BEGILLNOW,BELLOWING,1
BEGINOSTW,BESTOWING,1
BEEGINRTT,BETTERING,1
BCDEEHITW,BEWITCHED,1
BCEGIIKNR,BICKERING,1
BGIILLNOW,BILLOWING,1
AABCCJKKL,BLACKJACK,1
ABCGHILNN,BLANCHING,1
ABEKLNNSS,BLANKNESS,1
ABCEGHILN,BLEACHING,1
BDELLOOSS,BLOODLESS,1
BCGHILNOT,BLOTCHING,1
ABDMOOORR,BOARDROOM,1
BGINOORRW,BORROWING,1
BGIMNOOTT,BOTTOMING,1
ABEIINRST,BRAINIEST,1
ABCGHINNR,BRANCHING,1
ABEHNRSSS,BRASHNESS,1
ABCEGHINR,BREACHING,1
AABEFKRST,BREAKFAST,1
BCIKKORRW,BRICKWORK,1
BEIKNRSSS,BRISKNESS,1
ABCGHINOR,BROACHING,1
BEGIKNORR,BROKERING,1
BBBEGLMUU,BUBBLEGUM,1
BBBEILSTU,BUBBLIEST,1
BEIKLNSSU,BULKINESS,1
BEIMNPSSU,BUMPINESS,1
BGINORRUW,BURROWING,1
BEHINSSSU,BUSHINESS,1
BCDEEHRTU,BUTCHERED,1
BEFLRTTUY,BUTTERFLY,1
BGINNOTTU,BUTTONING,1
AACDENSSV,CANVASSED,1
ACGIINPSZ,CAPSIZING,1
AACEIPTTV,CAPTIVATE,1
ACEFLLRUY,CAREFULLY,1
AABCCEHLT,CATCHABLE,1
AACEGHMNP,CHAMPAGNE,1
CEHIOPPST,CHOPPIEST,1
BBCEHISTU,CHUBBIEST,1
CCGHIKLNU,CHUCKLING,1
ACELLSSSS,CLASSLESS,1
ACDEELRTT,CLATTERED,1
ACGIILMNX,CLIMAXING,1
CCGHIILNN,CLINCHING,1
CCKKLOORW,CLOCKWORK,1
CCGHILNTU,CLUTCHING,1
CCDEELLOT,COLLECTED,1
CDGIILLNO,COLLIDING,1
CIILLNOOS,COLLISION,1
CDGILLNOU,COLLUDING,1
ABCGIMNOT,COMBATING,1
BCGIIMNNO,COMBINING,1
CCDEEMMNO,COMMENCED,1
CDEEMMNOT,COMMENTED,1
CDEIMMOTT,COMMITTED,1
CDIMMOOTY,COMMODITY,1
CIMMNOOOT,COMMOTION,1
CIMMNOTUY,COMMUNITY,1
CGIMMNOTU,COMMUTING,1
ACCDEMOPT,COMPACTED,1
CDEELLMOP,COMPELLED,1
CEEMNOPTT,COMPETENT,1
CEGIMNOPT,COMPETING,1
CGIILMNOP,COMPILING,1
CDEELMOPT,COMPLETED,1
CGILMNOPY,COMPLYING,1
CEMNNOOPT,COMPONENT,1
CGIMNOOPS,COMPOSING,1
CDEMOOPST,COMPOSTED,1
CGIMNOPTU,COMPUTING,1
CDIINNOOT,CONDITION,1
CDGINNNOO,CONDONING,1
CDFGIINNO,CONFIDING,1
CFGIINNNO,CONFINING,1
CFGINNOSU,CONFUSING,1
CDEIJNNOO,CONJOINED,1
CGIJNNORU,CONJURING,1
CGIINNNOV,CONNIVING,1
CEGINNOVY,CONVEYING,1
CCDEINOTV,CONVICTED,1
CCDEINNOV,CONVINCED,1
CDGINOORR,CORRODING,1
CGLMOOOSY,COSMOLOGY,1
CDNNOOTUW,COUNTDOWN,1
ABBCEIRST,CRABBIEST,1
ACCGIKLNR,CRACKLING,1
CGIIKLNNR,CRINKLING,1
CGIILNPPR,CRIPPLING,1
CDOORRSSW,CROSSWORD,1
CCGHINORU,CROUCHING,1
BCGILMNRU,CRUMBLING,1
CGILMNPRU,CRUMPLING,1
CCGHINNRU,CRUNCHING,1
CGILNNNUY,CUNNINGLY,1
CILORSUUY,CURIOUSLY,1
AABBDEELT,DEBATABLE,1
BDDEEEFIR,DEBRIEFED,1
BDEGGGINU,DEBUGGING,1
BDEGIKNNU,DEBUNKING,1
CDEEGIINV,DECEIVING,1
CDDEGINTU,DEDUCTING,1
DEEEGINNP,DEEPENING,1
ADEEFGINT,DEFEATING,1
CDEEEFITV,DEFECTIVE,1
DDEEFGINN,DEFENDING,1
DEEEFINSV,DEFENSIVE,1
ADEFGILNT,DEFLATING,1
CDDEEEFLT,DEFLECTED,1
DEFGIMNOR,DEFORMING,1
CDDEEFKOR,DEFROCKED,1
ADDEEEGLT,DELEGATED,1
DDEEGHILT,DELIGHTED,1
DDEEGINNP,DEPENDING,1
CDEGIINPT,DEPICTING,1
DEEGILNPT,DEPLETING,1
DEGILNOPY,DEPLOYING,1
DEGINOPRT,DEPORTING,1
CDDDEEENS,DESCENDED,1
DEGGIINNS,DESIGNING,1
CDEEGINTT,DETECTING,1
DEEINNOTT,DETENTION,1
ADEGIINTV,DEVIATING,1
DEILOSUVY,DEVIOUSLY,1
ACDGIINTT,DICTATING,1
DGIIIKLNS,DISLIKING,1
DGIINPSTU,DISPUTING,1
DEGIINRTV,DIVERTING,1
DEIINSSZZ,DIZZINESS,1
BBDGIILNR,DRIBBLING,1
DGIILNRZZ,DRIZZLING,1
BDDFMNOUU,DUMBFOUND,1
DFILLTUUY,DUTIFULLY,1
DDGIILNNW,DWINDLING,1
CEEEFFITV,EFFECTIVE,1
ABEGIKMNR,EMBARKING,1
BDEEELMZZ,EMBEZZLED,1
BEEELMRZZ,EMBEZZLER,1
DEEEMOPRW,EMPOWERED,1
ADEEGLNNT,ENTANGLED,1
DEEELNOPV,ENVELOPED,1
EGIINPPQU,EQUIPPING,1
ABEEILQTU,EQUITABLE,1
AEGIIMNNX,EXAMINING,1
AACDEETVX,EXCAVATED,1
CDEEEGINX,EXCEEDING,1
CEEELLNTX,EXCELLENT,1
CEEGILLNX,EXCELLING,1
CEEINOPTX,EXCEPTION,1
CEEEISSVX,EXCESSIVE,1
ACDEEGHNX,EXCHANGED,1
CDEEILTXY,EXCITEDLY,1
ACDEEILMX,EXCLAIMED,1
CDEGILNUX,EXCLUDING,1
CEILNOSUX,EXCLUSION,1
CEEILSUVX,EXCLUSIVE,1
CEEGINTUX,EXECUTING,1
CEEEITUVX,EXECUTIVE,1
AEELMPRXY,EXEMPLARY,1
CDEEEIRSX,EXERCISED,1
AEEFILOTX,EXFOLIATE,1
ADEEHSTUX,EXHAUSTED,1
BDEEHIITX,EXHIBITED,1
ADEGINNPX,EXPANDING,1
AEEINPSVX,EXPANSIVE,1
ACEENPTTX,EXPECTANT,1
EEGILLNPX,EXPELLING,1
EEEINPSVX,EXPENSIVE,1
ADEEILNPX,EXPLAINED,1
EEEILPTVX,EXPLETIVE,1
DEGILNOPX,EXPLODING,1
EGILNOPRX,EXPLORING,1
EILNOOPSX,EXPLOSION,1
EEILOPSVX,EXPLOSIVE,1
EGINOPRTX,EXPORTING,1
DDEENOPUX,EXPOUNDED,1
DEEEPRSSX,EXPRESSED,1
EELPRSSXY,EXPRESSLY,1
EEIIQSTUX,EXQUISITE,1
DEEGINNTX,EXTENDING,1
EEEINSTVX,EXTENSIVE,1
EGILLNOTX,EXTOLLING,1
EGINORTTX,EXTORTING,1
EINOORTTX,EXTORTION,1
EEIMRTTXY,EXTREMITY,1
ACEFINNSS,FANCINESS,1
AEFGHINRT,FATHERING,1
AFGHIMNOT,FATHOMING,1
AEFGINNTT,FATTENING,1
EEFLNRTVY,FERVENTLY,1
EEFGINRST,FESTERING,1
FGHIIINNS,FINISHING,1
EFHIINSSS,FISHINESS,1
FGIILNTTY,FITTINGLY,1
EFIINSSZZ,FIZZINESS,1
ABBEFILST,FLABBIEST,1
AEFIKLNSS,FLAKINESS,1
AABEFLLMM,FLAMMABLE,1
ADEEFLNTT,FLATTENED,1
ADEEFLRTT,FLATTERED,1
CDEEFIKLR,FLICKERED,1
CFGHIILNN,FLINCHING,1
EFFFILSTU,FLUFFIEST,1
DEFLMMOUX,FLUMMOXED,1
DEEFLRSTU,FLUSTERED,1
DEEFLRTTU,FLUTTERED,1
FGILLNOOW,FOLLOWING,1
DFFFOOSTU,FOODSTUFF,1
FHILLOOSY,FOOLISHLY,1
FFLOOOOPR,FOOLPROOF,1
EFLOOOOST,FOOTLOOSE,1
FLOOOOSTT,FOOTSTOOL,1
FGGIINORV,FORGIVING,1
AFIMNOORT,FORMATION,1
ADEFMORTT,FORMATTED,1
ADDEFORRW,FORWARDED,1
AEEFIKRST,FREAKIEST,1
CEFGIKLNR,FRECKLING,1
EEEEFHLRW,FREEWHEEL,1
CEEFNQRUY,FREQUENCY,1
DEEEFHNRS,FRESHENED,1
EEFHNRSSS,FRESHNESS,1
EFINNNSSU,FUNNINESS,1
FILORSUUY,FURIOUSLY,1
EFINRRSSU,FURRINESS,1
FGINORRUW,FURROWING,1
EFINSSSSU,FUSSINESS,1
EFINSSUZZ,FUZZINESS,1
AAGLLLNTY,GALLANTLY,1
EGGGIILST,GIGGLIEST,1
EEFGLLLUY,GLEEFULLY,1
DEEGILRTT,GLITTERED,1
EGIILSTTZ,GLITZIEST,1
EGILOSSST,GLOSSIEST,1
GGILLNOWY,GLOWINGLY,1
AGGILNPPR,GRAPPLING,1
AEGIRSSST,GRASSIEST,1
EEEGNNRSS,GREENNESS,1
EGIIRSTTT,GRITTIEST,1
EGGGIORST,GROGGIEST,1
EGNORSSSS,GROSSNESS,1
BGGILMNRU,GRUMBLING,1
EGIMPRSTU,GRUMPIEST,1
AFFGGINUW,GUFFAWING,1
AGHILLNOW,HALLOWING,1
AEGHIMMNR,HAMMERING,1
AEGHIMNPR,HAMPERING,1
AADDHNNST,HANDSTAND,1
AAADHHPRZ,HAPHAZARD,1
AEGHINNPP,HAPPENING,1
AEHINPPSS,HAPPINESS,1
AFHLLMRUY,HARMFULLY,1
AGHINORRW,HARROWING,1
AADGHINRZ,HAZARDING,1
AADHORSUZ,HAZARDOUS,1
EFHLLLPUY,HELPFULLY,1
GGHHHIILT,HIGHLIGHT,1
ACGHIIJKN,HIJACKING,1
BHIILLLLY,HILLBILLY,1
DEGHIINNR,HINDERING,1
EGHILLNOR,HOLLERING,1
GHILLNOOW,HOLLOWING,1
EFHLLOPUY,HOPEFULLY,1
DEHILRRUY,HURRIEDLY,1
CIIILLLTY,ILLICITLY,1
AGGIIIMNN,IMAGINING,1
AGIIIMNTT,IMITATING,1
ACGIIMNPT,IMPACTING,1
DGIILMNOP,IMPLODING,1
GIILMNOPR,IMPLORING,1
GIIMNOPRT,IMPORTING,1
GIIMNOPRV,IMPROVING,1
CGIINNRRU,INCURRING,1
CDGIIINNT,INDICTING,1
CEFGIINNT,INFECTING,1
CEFIINNOT,INFECTION,1
AFIILNNOT,INFLATION,1
CDEFIILNT,INFLICTED,1
BDEHIIINT,INHIBITED,1
AIIILLNTY,INITIALLY,1
CEGIIJNNT,INJECTING,1
CEIIJNNOT,INJECTION,1
CEIIJNSTU,INJUSTICE,1
GIINNPTTU,INPUTTING,1
GIIINNQRU,INQUIRING,1
GIIINNPRS,INSPIRING,1
EIINNNOTT,INTENTION,1
IIINNOTTU,INTUITION,1
EGIINNNTV,INVENTING,1
EEIINNTVV,INVENTIVE,1
EGIINNSTV,INVESTING,1
BEIIILNSV,INVISIBLE,1
BIIILNSVY,INVISIBLY,1
GIILNNOVV,INVOLVING,1
ABBEGIJNR,JABBERING,1
EFHIJLLSY,JELLYFISH,1
CEGIJKNOY,JOCKEYING,1
CDIIJOSUU,JUDICIOUS,1
CEIIJNSSU,JUICINESS,1
EIJMNPSSU,JUMPINESS,1
DEFIIJSTU,JUSTIFIED,1
AEJOPSTUX,JUXTAPOSE,1
GIKLNNOWY,KNOWINGLY,1
AAELLLRTY,LATERALLY,1
ACGHILNNU,LAUNCHING,1
EGGIILNNR,LINGERING,1
DIIILQTUY,LIQUIDITY,1
GIILNOQRU,LIQUORING,1
AEILLLRTY,LITERALLY,1
AEIKKLLOO,LOOKALIKE,1
BEGILMNRU,LUMBERING,1
FLLLSTUUY,LUSTFULLY,1
ILORSUUUX,LUXURIOUS,1
AACGILLMY,MAGICALLY,1
AADEHLMNN,MANHANDLE,1
AADGIMNRU,MARAUDING,1
AEGIKMNRT,MARKETING,1
AEGIMNRTT,MATTERING,1
EGILLMNOW,MELLOWING,1
EEIMNSSSS,MESSINESS,1
AEEIMNNZZ,MEZZANINE,1
CGIIIKMMN,MIMICKING,1
GGIIIMNSV,MISGIVING,1
DDEGIJMSU,MISJUDGED,1
AGIIKMNST,MISTAKING,1
ADEGIIMTT,MITIGATED,1
DFGIIMNOY,MODIFYING,1
EGIKMNNOY,MONKEYING,1
EGHIMNORT,MOTHERING,1
ADEIMOTTV,MOTIVATED,1
DEFIIMMMU,MUMMIFIED,1
EIKMNRSSU,MURKINESS,1
GIMMNRRUU,MURMURING,1
ACILLMSUY,MUSICALLY,1
EGIMNRSTU,MUSTERING,1
EIMNSSSTU,MUSTINESS,1
EGIMNRTTU,MUTTERING,1
BEGIMNNRU,NUMBERING,1
BCEFIJOTY,OBJECTIFY,1
BCEGIJNOT,OBJECTING,1
BCEIJNOOT,OBJECTION,1
BCEEIJOTV,OBJECTIVE,1
BINOOOSUX,OBNOXIOUS,1
BILOOSUVY,OBVIOUSLY,1
ACCCNOPUY,OCCUPANCY,1
AEINOOPRT,OPERATION,1
BGINOOTUX,OUTBOXING,1
DEFIOTTTU,OUTFITTED,1
GINOOTTUV,OUTVOTING,1
EGNOORRVW,OVERGROWN,1
ADEEHORRV,OVERHEARD,1
DEEJOORVY,OVERJOYED,1
EEOOPRRVW,OVERPOWER,1
EHOORRTVW,OVERTHROW,1
AFILLNPUY,PAINFULLY,1
AAABELLPT,PALATABLE,1
ADEGINNPR,PANDERING,1
ACGIIKNNP,PANICKING,1
AAAIPPRZZ,PAPARAZZI,1
AAAGHPPRR,PARAGRAPH,1
AAGIKNPRT,PARTAKING,1
ACEHIPSTT,PATCHIEST,1
EEGINPPPR,PEPPERING,1
CDEEEIPRV,PERCEIVED,1
CDEEEFPRT,PERFECTED,1
DEEELPPRX,PERPLEXED,1
DEEEPRRTV,PERVERTED,1
EEGINPRST,PESTERING,1
CEGIIKNPT,PICKETING,1
CEIIKNPSS,PICKINESS,1
EFGIILNPR,PILFERING,1
AFLLLPUYY,PLAYFULLY,1
CEIKLPSTU,PLUCKIEST,1
CEGIKNOPT,POCKETING,1
GILLNOPTU,POLLUTING,1
ILLNOOPTU,POLLUTION,1
DEGINNOPR,PONDERING,1
CCKOOPPPY,POPPYCOCK,1
DEEOPSSSS,POSSESSED,1
EELOPRSSW,POWERLESS,1
DEEEFPRRR,PREFERRED,1
DDEEGJPRU,PREJUDGED,1
CDEEIJPRU,PREJUDICE,1
DDEEENPRT,PRETENDED,1
EEIPRSTTT,PRETTIEST,1
DEEENPRTV,PREVENTED,1
DEEEIPRVW,PREVIEWED,1
CEIIKLPRR,PRICKLIER,1
CGIIKLNPR,PRICKLING,1
ABINOOPRT,PROBATION,1
CGINOPRRU,PROCURING,1
FGIILNOPR,PROFILING,1
FGIINOPRT,PROFITING,1
CDEEJOPRT,PROJECTED,1
CEJOOPRRT,PROJECTOR,1
GIMNOOPRT,PROMOTING,1
IMNOOOPRT,PROMOTION,1
CDEEOPRTT,PROTECTED,1
DGIINOPRV,PROVIDING,1
IINOOPRSV,PROVISION,1
GIKNOOPRV,PROVOKING,1
IIMOPRTXY,PROXIMITY,1
CEGIKNPRU,PUCKERING,1
EFFINPSSU,PUFFINESS,1
EEILPRUVZ,PULVERIZE,1
CEHINPSTU,PUNCHIEST,1
FGIINPRUY,PURIFYING,1
EHINPSSSU,PUSHINESS,1
ADEFIILQU,QUALIFIED,1
ADEEQRRTU,QUARTERED,1
AELQRRTUY,QUARTERLY,1
AEGINQRUV,QUAVERING,1
CEGHINNQU,QUENCHING,1
BBGIILNQU,QUIBBLING,1
CEIKNQSSU,QUICKNESS,1
ACDIKNQSU,QUICKSAND,1
EIIKQRSTU,QUIRKIEST,1
ACIILQUZZ,QUIZZICAL,1
AINOOQTTU,QUOTATION,1
AGHIINRSV,RAVISHING,1
BEEGILLNR,REBELLING,1
BEGIKNOOR,REBOOKING,1
BEGINOORT,REBOOTING,1
CEEGIINRV,RECEIVING,1
ACEEGHRRR,RECHARGER,1
CEGIILNOR,RECOILING,1
CEGINRRRU,RECURRING,1
DEEEGIMNR,REDEEMING,1
DDEEERRSS,REDRESSED,1
EEFGINRRR,REFERRING,1
CDEEEFLRT,REFLECTED,1
EFGIMNORR,REFORMING,1
DEEEFHRRS,REFRESHED,1
AEEGHINRT,REHEATING,1
CEEGIJNRT,REJECTING,1
CEGIIJNOR,REJOICING,1
EGIIJNNOR,REJOINING,1
AEGIIMNNR,REMAINING,1
AEGIKMNRR,REMARKING,1
DEGIIMNNR,REMINDING,1
DEEGINNRR,RENDERING,1
AEEGILNPR,REPEALING,1
EEGILLNPR,REPELLING,1
DEEEQRSTU,REQUESTED,1
ACDEERRTT,RETRACTED,1
EGINNRRTU,RETURNING,1
AEGIMNPRV,REVAMPING,1
AEEGILNRV,REVEALING,1
EEGINRRTV,REVERTING,1
EEGIINRVW,REVIEWING,1
EGILNORTV,REVOLTING,1
EGILNORVV,REVOLVING,1
DEGIINNRW,REWINDING,1
EGIKNORRW,REWORKING,1
EGIINRRTW,REWRITING,1
EIIKNRSSS,RISKINESS,1
CEIKNORSS,ROCKINESS,1
AEINSSSSS,SASSINESS,1
ACDEEMPRS,SCAMPERED,1
CGHILNOOS,SCHOOLING,1
CCGHINORS,SCORCHING,1
ABCDELMRS,SCRAMBLED,1
ACGILNRSW,SCRAWLING,1
ACEGIMNRS,SCREAMING,1
BBCDEILRS,SCRIBBLED,1
CGIINPRST,SCRIPTING,1
CGILLNORS,SCROLLING,1
BBCGINRSU,SCRUBBING,1
CFFILRSUY,SCRUFFILY,1
CFFGILNSU,SCUFFLING,1
CGINRRSUY,SCURRYING,1
EEGILMNSY,SEEMINGLY,1
CEEGILNST,SELECTING,1
EEELNSSSS,SENSELESS,1
ABBEHISST,SHABBIEST,1
ADGHINOSW,SHADOWING,1
AEHIKNSSS,SHAKINESS,1
ABGHILMNS,SHAMBLING,1
AEEHLMSSS,SHAMELESS,1
AEHNPRSSS,SHARPNESS,1
DEEEHLRST,SHELTERED,1
GHIIMMNSY,SHIMMYING,1
EHIINNSSS,SHININESS,1
EGHIINRSV,SHIVERING,1
DDEHIOSST,SHODDIEST,1
EHNORSSST,SHORTNESS,1
EHINOSSSW,SHOWINESS,1
DDEGHINRS,SHREDDING,1
GHIIKNNRS,SHRINKING,1
BBEHRRSUY,SHRUBBERY,1
GGGHINRSU,SHRUGGING,1
DDDEEHRSU,SHUDDERED,1
FFGHILNSU,SHUFFLING,1
EIILLNSSS,SILLINESS,1
EEELLPSSS,SLEEPLESS,1
BBDEELORS,SLOBBERED,1
EILOPPSST,SLOPPIEST,1
EEKLMOSSS,SMOKELESS,1
EIKMNOSSS,SMOKINESS,1
DENNOSSSU,SOUNDNESS,1
AGIKLNPRS,SPARKLING,1
GIILNPSTT,SPLITTING,1
EIKOOPSST,SPOOKIEST,1
EIOPSSTTT,SPOTTIEST,1
AGILNPRSW,SPRAWLING,1
GGIINNPRS,SPRINGING,1
DEIKLNPRS,SPRINKLED,1
ABBDELQSU,SQUABBLED,1
AGHINQSSU,SQUASHING,1
AGINQSTTU,SQUATTING,1
AGIKNQSUW,SQUAWKING,1
AEIKLQSUY,SQUEAKILY,1
AEGIKNQSU,SQUEAKING,1
AEGILNQSU,SQUEALING,1
EEGINQSUZ,SQUEEZING,1
CDEEHLQSU,SQUELCHED,1
DEGGILQSU,SQUIGGLED,1
GIINNQSTU,SQUINTING,1
GIIMNQRSU,SQUIRMING,1
GIINQRSTU,SQUIRTING,1
EHIIQRSSU,SQUISHIER,1
GHIINQSSU,SQUISHING,1
CEIIKSSTT,STICKIEST,1
EFFINSSST,STIFFNESS,1
CEIKOSSTT,STOCKIEST,1
BKOOORSTY,STORYBOOK,1
ADDDELRST,STRADDLED,1
ADEGGLRST,STRAGGLED,1
ADGINNRST,STRANDING,1
ADEGLNRST,STRANGLED,1
GGIINNRST,STRINGING,1
GILLNORST,STROLLING,1
DEGGLRSTU,STRUGGLED,1
GIMMNRSTU,STRUMMING,1
GINRSTTTU,STRUTTING,1
EFFISSTTU,STUFFIEST,1
BGILMNSTU,STUMBLING,1
BCDEEJSTU,SUBJECTED,1
BCCDEMSUU,SUCCUMBED,1
EFFGINRSU,SUFFERING,1
CFFGIINSU,SUFFICING,1
FFGIINSUX,SUFFIXING,1
GIMMNNOSU,SUMMONING,1
EINNNSSSU,SUNNINESS,1
GINOPPSSU,SUPPOSING,1
EGINRSUVY,SURVEYING,1
ADDGILNSW,SWADDLING,1
ADEEGGRSW,SWAGGERED,1
DEEEENSTW,SWEETENED,1
DGIILNNSW,SWINDLING,1
CGHIINSTW,SWITCHING,1
EEENNSSST,TENSENESS,1
BBGHINORT,THROBBING,1
AGHINRTTW,THWARTING,1
CEGIIKNTT,TICKETING,1
EGIIKNNRT,TINKERING,1
BHLLOOOTT,TOLLBOOTH,1
EHIOOSTTT,TOOTHIEST,1
AGILMNPRT,TRAMPLING,1
BEGILMNRT,TREMBLING,1
CEIIKRSTT,TRICKIEST,1
CGIIKLNRT,TRICKLING,1
GIIKLNNTW,TWINKLING,1
CGHIINTTW,TWITCHING,1
BDEGINNNU,UNBENDING,1
BCDEKLNOU,UNBLOCKED,1
BDDENNOUU,UNBOUNDED,1
BCDEKLNUU,UNBUCKLED,1
ACDEHINNU,UNCHAINED,1
ACDEGHNNU,UNCHANGED,1
CDELNOPUU,UNCOUPLED,1
DDEFNNRUU,UNDERFUND,1
DEEIMNNRU,UNDERMINE,1
DEENNRTUW,UNDERWENT,1
DDDEIINUV,UNDIVIDED,1
AELLNQUUY,UNEQUALLY,1
DDEFNNOUU,UNFOUNDED,1
FILNNNUUY,UNFUNNILY,1
FGILNNRUU,UNFURLING,1
ADGHINNNU,UNHANDING,1
GHIKNNOOU,UNHOOKING,1
ADGILNNOU,UNLOADING,1
CGIKLNNOU,UNLOCKING,1
CIKLLNUUY,UNLUCKILY,1
AGIKMNNSU,UNMASKING,1
DELMNUUZZ,UNMUZZLED,1
ACGIKNNPU,UNPACKING,1
ADELNNNPU,UNPLANNED,1
DEGGLNPUU,UNPLUGGED,1
ADEGLNNTU,UNTANGLED,1
CGIKNNTUU,UNTUCKING,1
ALLNSUUUY,UNUSUALLY,1
ACDEHNTUW,UNWATCHED,1
GIILLNNUW,UNWILLING,1
DGIINNNUW,UNWINDING,1
GIINNTTUW,UNWITTING,1
FGIILNPTU,UPLIFTING,1
AGHIINNSV,VANISHING,1
AAIINORTV,VARIATION,1
ABGIINRTV,VIBRATING,1
CIILOSUVY,VICIOUSLY,1
FGIIILNVY,VILIFYING,1
AIILNOOTV,VIOLATION,1
ACIIOSUVV,VIVACIOUS,1
ACEIKNSSW,WACKINESS,1
AGILLNOPW,WALLOPING,1
AGILLNOWW,WALLOWING,1
AEEINRSSW,WEARINESS,1
DEEHIMPRW,WHIMPERED,1
GHIINNNWY,WHINNYING,1
DHIILNRWW,WHIRLWIND,1
DEEHIKRSW,WHISKERED,1
EGGIILSTW,WIGGLIEST,1
GIILLLNWY,WILLINGLY,1
DEIINNSSW,WINDINESS,1
EGIINNRTW,WINTERING,1
EGHIINRTW,WITHERING,1
BBEILOSTW,WOBBLIEST,1
GGGIILNRW,WRIGGLING,1
EIIKLNRRW,WRINKLIER,1
GIIKLNNRW,WRINKLING,1
ADEGGGIZZ,ZIGZAGGED,1
AABDDENNO,ABANDONED,2
ABCDINOTU,ABDUCTION,2
ACCEGINPT,ACCEPTING,2
ACCEGINSS,ACCESSING,2
ACCDGINOR,ACCORDING,2
ACCGINOST,ACCOSTING,2
ACGIINQRU,ACQUIRING,2
AACDEITTV,ACTIVATED,2
AACILTTUY,ACTUALITY,2
AAABDELPT,ADAPTABLE,2
AAABDLPTY,ADAPTABLY,2
ACDEEIJTV,ADJECTIVE,2
AADINOORT,ADORATION,2
AACDGINNV,ADVANCING,2
AAADEGNTV,ADVANTAGE,2
AACDDEOTV,ADVOCATED,2
ACEFFINOT,AFFECTION,2
AFFGIIMNR,AFFIRMING,2
ADEEGLLLY,ALLEGEDLY,2
AABELLLOW,ALLOWABLE,2
ABGIIMTUY,AMBIGUITY,2
ABGIMOSUU,AMBIGUOUS,2
ABGHIMNSU,AMBUSHING,2
AABHIIMNP,AMPHIBIAN,2
AADEMPTTU,AMPUTATED,2
AADENNOTT,ANNOTATED,2
AEGINNRSW,ANSWERING,2
AIINQTTUY,ANTIQUITY,2
AEGILOOPZ,APOLOGIZE,2
AAGILLNPP,APPALLING,2
AAEGINPPR,APPEARING,2
AAEGINPPS,APPEASING,2
AACEILNPP,APPLIANCE,2
ACGHIINRV,ARCHIVING,2
AGIINSSST,ASSISTING,2
AAGIINNTT,ATTAINING,2
AADENNTTT,ATTENDANT,2
AHIORTTUY,AUTHORITY,2
